ENTRY_AC	ENTRY_TYPE	ENTRY_NAME
IPR004163	binding_site	Coenzyme A transferase binding site
IPR004838	binding_site	Aminotransferases, class-I, pyridoxal-phosphate-binding site
IPR006058	binding_site	2Fe-2S ferredoxin, iron-sulphur binding site
IPR006066	binding_site	Nitrite/sulphite reductase iron-sulphur/sirohaem-binding site
IPR006093	binding_site	Oxygen oxidoreductase covalent FAD-binding site
IPR006184	binding_site	6-phosphogluconate-binding site
IPR013516	binding_site	Phytochrome chromophore binding site
IPR013838	binding_site	Beta tubulin, autoregulation binding site
IPR015881	binding_site	Aromatic-ring-hydroxylating dioxygenase, 2Fe-2S-binding site
IPR015887	binding_site	DNA glycosylase/AP lyase, zinc finger domain, DNA-binding site
IPR016131	binding_site	Haemerythrin, iron-binding site
IPR016192	binding_site	APOBEC/CMP deaminase, zinc-binding
IPR017441	binding_site	Protein kinase, ATP binding site
IPR017947	binding_site	Aryldialkylphosphatase, zinc-binding site
IPR018064	binding_site	Metallothionein, vertebrate, metal binding site
IPR018136	binding_site	Aconitase family, 4Fe-4S cluster binding site
IPR018152	binding_site	Superoxide dismutase, copper/zinc, binding site
IPR018194	binding_site	Nickel-dependent hydrogenase, large subunit, nickel binding site
IPR018195	binding_site	Transferrin family, iron binding site
IPR018220	binding_site	Adenylosuccinate synthase, GTP-binding site
IPR018229	binding_site	Rhodopsin, retinal binding site
IPR018246	binding_site	AP endonuclease 2, zinc binding site
IPR018247	binding_site	EF-Hand 1, calcium-binding site
IPR018298	binding_site	Adrenodoxin, iron-sulphur binding site
IPR018301	binding_site	Aromatic amino acid hydroxylase, iron/copper binding site
IPR018349	binding_site	Peptidase M24A, methionine aminopeptidase, subfamily 2, binding site
IPR018506	binding_site	Cytochrome b5, heme-binding site
IPR018527	binding_site	Rubredoxin, iron-binding site
IPR019780	binding_site	Germin, manganese binding site
IPR019789	binding_site	Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, thiamine diphosphate binding site
IPR019793	binding_site	Peroxidases heam-ligand binding site
IPR019798	binding_site	Serine hydroxymethyltransferase, pyridoxal phosphate binding site
IPR019807	binding_site	Hexokinase, binding site
IPR019824	binding_site	Leghaemoglobin, iron-binding site
IPR019825	binding_site	Legume lectin, beta chain, Mn/Ca-binding site
IPR019833	binding_site	Manganese/iron superoxide dismutase, binding site
IPR019843	binding_site	DNA polymerase family X, binding site
IPR020537	binding_site	ATP synthase, F0 complex, subunit C, DCCD-binding site
IPR020563	binding_site	Crossover junction endodeoxyribonuclease RuvC, magnesium-binding site
IPR020578	binding_site	Aminotransferase class-V, pyridoxal-phosphate binding site
IPR020583	binding_site	Inositol monophosphatase, metal-binding site
IPR020622	binding_site	Alanine racemase, pyridoxal-phosphate attachment site
IPR020789	binding_site	RNA polymerases, subunit N, zinc binding site
IPR020826	binding_site	Transketolase binding site
IPR020833	binding_site	Lipoxygenase, iron binding site
IPR020847	binding_site	AP endonuclease 1, binding site
IPR020855	binding_site	Ureohydrolase, manganese-binding site
IPR020893	binding_site	Cytochrome c oxidase, subunit Vb, zinc binding site
IPR020969	binding_site	Ankyrin-G binding site
IPR021115	binding_site	Pyridoxal-phosphate binding site
IPR021158	binding_site	Peptidase M10A, cysteine switch, zinc binding site
IPR022407	binding_site	Oxidoreductase, molybdopterin binding site
IPR022419	binding_site	Porphobilinogen deaminase, dipyrromethane cofactor binding site
IPR022653	binding_site	Orn/DAP/Arg decarboxylase 2, pyridoxal-phosphate binding site
IPR023418	binding_site	Transthyretin, thyroxine binding site
IPR023615	binding_site	Cytochrome c oxidase, subunit I, copper-binding site
IPR025662	binding_site	Sigma-54 interaction domain, ATP-binding site 1
IPR025943	binding_site	Sigma-54 interaction domain, ATP-binding site 2
IPR027430	binding_site	Visual pigments (opsins) retinal binding site
IPR027467	binding_site	Molybdopterin oxidoreductase, molybdopterin cofactor binding site
IPR028871	binding_site	Blue (type 1) copper protein, binding site
IPR029754	binding_site	Urease nickel binding site
IPR034408	binding_site	Sulphate/thiosulphate-binding site
IPR000035	conserved_site	Alkylbase DNA glycosidase, conserved site
IPR000047	conserved_site	Helix-turn-helix motif
IPR000049	conserved_site	Electron transfer flavoprotein, beta-subunit, conserved site
IPR000059	conserved_site	NUDIX hydrolase, NudL, conserved site
IPR000111	conserved_site	Glycoside hydrolase family 27/36, conserved site
IPR000132	conserved_site	Nitrilase/cyanide hydratase, conserved site
IPR000283	conserved_site	NADH:ubiquinone oxidoreductase, 75kDa subunit, conserved site
IPR000291	conserved_site	D-alanine--D-alanine ligase/VANA/B/C, conserved site
IPR000318	conserved_site	Nitrogenase component 1, conserved site
IPR000319	conserved_site	Aspartate-semialdehyde dehydrogenase, conserved site
IPR000385	conserved_site	MoaA/NifB/PqqE, iron-sulphur binding, conserved site
IPR000399	conserved_site	TPP-binding enzyme, conserved site
IPR000445	conserved_site	Helix-hairpin-helix motif
IPR000486	conserved_site	Extradiol ring-cleavage dioxygenase, class I /II
IPR000540	conserved_site	Flagellar motor protein MotA, conserved site
IPR000614	conserved_site	Free Met sulfoxide reductase conserved site
IPR000629	conserved_site	ATP-dependent RNA helicase DEAD-box, conserved site
IPR000633	conserved_site	Vinculin, conserved site
IPR000637	conserved_site	HMG-I/HMG-Y, DNA-binding, conserved site
IPR000645	conserved_site	Type II secretion system protein GspN, conserved site
IPR000804	conserved_site	Clathrin adaptor complex, small chain
IPR000808	conserved_site	Mrp, conserved site
IPR000827	conserved_site	CC chemokine, conserved site
IPR000838	conserved_site	RNA polymerase sigma factor 70, ECF, conserved site
IPR000842	conserved_site	Phosphoribosyl pyrophosphate synthetase, conserved site
IPR000952	conserved_site	AB hydrolase 4, conserved site
IPR000957	conserved_site	Sulphate/thiosulphate-binding, conserved site
IPR000985	conserved_site	Legume lectin, alpha chain, conserved site
IPR001006	conserved_site	Procollagen-lysine 5-dioxygenase, conserved site
IPR001014	conserved_site	Ribosomal protein L23/L25, conserved site
IPR001018	conserved_site	Beta-lactamase, class-B, conserved site
IPR001110	conserved_site	Uncharacterised protein family UPF0012, conserved site
IPR001131	conserved_site	Peptidase M24B, X-Pro dipeptidase/aminopeptidase P, conserved site
IPR001196	conserved_site	Ribosomal protein L15, conserved site
IPR001226	conserved_site	Flavodoxin, conserved site
IPR001261	conserved_site	ArgE/DapE/ACY1/CPG2/YscS, conserved site
IPR001295	conserved_site	Dihydroorotate dehydrogenase, conserved site
IPR001307	conserved_site	Thiosulphate sulfurtransferase, conserved site
IPR001326	conserved_site	Translation elongation factor EF1B, beta/delta chains, conserved site
IPR001331	conserved_site	Guanine-nucleotide dissociation stimulator, CDC24, conserved site
IPR001363	conserved_site	Proteinase inhibitor I25C, fetuin, conserved site
IPR001412	conserved_site	Aminoacyl-tRNA synthetase, class I, conserved site
IPR001423	conserved_site	Lysophospholipase patatin, conserved site
IPR001426	conserved_site	Tyrosine-protein kinase, receptor class V, conserved site
IPR001468	conserved_site	Indole-3-glycerol phosphate synthase, conserved site
IPR001479	conserved_site	Quinoprotein dehydrogenase, conserved site
IPR001484	conserved_site	Pyrokinin, conserved site
IPR001514	conserved_site	DNA-directed RNA polymerase, 30-40kDa subunit, conserved site
IPR001522	conserved_site	Fatty acid desaturase type 1, conserved site
IPR001524	conserved_site	Glycoside hydrolase, family 6, conserved site
IPR001550	conserved_site	Transcription antiterminator, conserved site
IPR001562	conserved_site	Zinc finger, Btk motif
IPR001587	conserved_site	Ribonuclease J, conserved site
IPR001589	conserved_site	Actinin-type actin-binding domain, conserved site
IPR001598	conserved_site	Transposase, IS30, conserved site
IPR001637	conserved_site	Glutamine synthetase class-I, adenylation site
IPR001692	conserved_site	Histidinol dehydrogenase, conserved site
IPR001751	conserved_site	S100/Calbindin-D9k, conserved site
IPR001824	conserved_site	Tyrosine-protein kinase, receptor class III, conserved site
IPR001827	conserved_site	Homeobox protein, antennapedia type, conserved site
IPR001858	conserved_site	Phosphatidylethanolamine-binding, conserved site
IPR001949	conserved_site	NADH:ubiquinone oxidoreductase, 51kDa subunit, conserved site
IPR001989	conserved_site	Radical-activating enzyme, conserved site
IPR001992	conserved_site	T2SS_GspF/T4SS_PilC conserved site
IPR001999	conserved_site	Osteonectin-like, conserved site
IPR002011	conserved_site	Tyrosine-protein kinase, receptor class II, conserved site
IPR002012	conserved_site	Gonadotropin-releasing hormone
IPR002034	conserved_site	Alpha-isopropylmalate/homocitrate synthase, conserved site
IPR002047	conserved_site	Adipokinetic hormone, conserved site
IPR002052	conserved_site	DNA methylase, N-6 adenine-specific, conserved site
IPR002057	conserved_site	Isopenicillin N synthase, conserved site
IPR002080	conserved_site	Seminal vesicle protein II, conserved site
IPR002173	conserved_site	Carbohydrate/purine kinase, PfkB, conserved site
IPR002194	conserved_site	Chaperonin TCP-1, conserved site
IPR002195	conserved_site	Dihydroorotase, conserved site
IPR002204	conserved_site	3-hydroxyisobutyrate dehydrogenase-related, conserved site
IPR002328	conserved_site	Alcohol dehydrogenase, zinc-type, conserved site
IPR002358	conserved_site	Ribosomal protein L6, conserved site
IPR002359	conserved_site	Ribosomal protein L6, conserved site-2
IPR002361	conserved_site	Antenna complex, alpha subunit conserved site
IPR002363	conserved_site	Ribosomal protein L10, eubacterial, conserved site
IPR002364	conserved_site	Quinone oxidoreductase/zeta-crystallin, conserved site
IPR002365	conserved_site	Terpene synthase, conserved site
IPR002464	conserved_site	DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site
IPR003006	conserved_site	Immunoglobulin/major histocompatibility complex, conserved site
IPR003043	conserved_site	Uroporphiryn-III C-methyltransferase, conserved site
IPR003109	conserved_site	GoLoco motif
IPR003527	conserved_site	Mitogen-activated protein (MAP) kinase, conserved site
IPR003528	conserved_site	Long hematopoietin receptor, single chain, conserved site
IPR003529	conserved_site	Long hematopoietin receptor, Gp130 family 2, conserved site
IPR003530	conserved_site	Long hematopoietin receptor, soluble alpha chain, conserved site
IPR003531	conserved_site	Short hematopoietin receptor, family 1, conserved site
IPR003532	conserved_site	Short hematopoietin receptor, family 2, conserved site
IPR003651	conserved_site	Endonuclease III-like, iron-sulphur cluster loop motif
IPR003903	conserved_site	Ubiquitin interacting motif
IPR003956	conserved_site	Transcription factor, NFYB/HAP3, conserved site
IPR003960	conserved_site	ATPase, AAA-type, conserved site
IPR004001	conserved_site	Actin, conserved site
IPR004011	conserved_site	GYR motif
IPR004019	conserved_site	YLP motif
IPR004027	conserved_site	SEC-C motif
IPR004036	conserved_site	Endonuclease III-like, conserved site-2
IPR004037	conserved_site	Ribosomal protein L7Ae conserved site
IPR004840	conserved_site	Amino acid permease, conserved site
IPR004845	conserved_site	Type II secretion system protein GspD, conserved site
IPR005486	conserved_site	Glucokinase regulatory protein, conserved site
IPR005803	conserved_site	Fatty acid desaturase type 2, conserved site
IPR005825	conserved_site	Ribosomal protein L24/L26, conserved site
IPR005829	conserved_site	Sugar transporter, conserved site
IPR005831	conserved_site	Aerolysin/haemolysin toxin, conserved site
IPR005836	conserved_site	ADP-glucose pyrophosphorylase, conserved site
IPR005853	conserved_site	Omega-agatoxin type II/III, conserved site
IPR005918	conserved_site	Conantokin, conserved site
IPR006012	conserved_site	Syntaxin/epimorphin, conserved site
IPR006040	conserved_site	Allergen Ole e 1, conserved site
IPR006061	conserved_site	Solute-binding family 1, conserved site
IPR006074	conserved_site	GTP1/OBG, conserved site
IPR006089	conserved_site	Acyl-CoA dehydrogenase, conserved site
IPR006105	conserved_site	Cereal seed allergen/trypsin and alpha-amylase inhibitor, conserved site
IPR006117	conserved_site	2-5-oligoadenylate synthetase, C-terminal  conserved site
IPR006118	conserved_site	Recombinase, conserved site
IPR006126	conserved_site	Staphylococcal enterotoxin/Streptococcal pyrogenic exotoxin, conserved site
IPR006144	conserved_site	Secretion protein HlyD, conserved site
IPR006146	conserved_site	5'-Nucleotidase, conserved site
IPR006180	conserved_site	3-hydroxyacyl-CoA dehydrogenase, conserved site
IPR006181	conserved_site	D-amino acid oxidase, conserved site
IPR006203	conserved_site	GHMP kinase, ATP-binding, conserved site
IPR006213	conserved_site	Bax inhibitor 1, conserved site
IPR006216	conserved_site	Photosystem II cytochrome b559, conserved site
IPR006224	conserved_site	Pseudouridine synthase, RluC/RluD, conserved site
IPR006311	conserved_site	Twin-arginine translocation pathway, signal sequence
IPR006653	conserved_site	Tryptophan synthase, beta chain, conserved site
IPR006655	conserved_site	Molybdopterin oxidoreductase, prokaryotic, conserved site
IPR006686	conserved_site	Mechanosensitive ion channel MscS, conserved site
IPR006690	conserved_site	Outer membrane protein, OmpA-like, conserved site
IPR007121	conserved_site	RNA polymerase, beta subunit, conserved site
IPR007166	conserved_site	Class III signal peptide motif
IPR007577	conserved_site	Glycosyltransferase, DXD sugar-binding motif
IPR007858	conserved_site	Dpy-30 motif
IPR008142	conserved_site	Alanine dehydrogenase/NAD(P) transhydrogenase, conserved site-1
IPR008143	conserved_site	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, conserved site-2
IPR008150	conserved_site	Phytoene dehydrogenase, bacterial-type, conserved site
IPR008193	conserved_site	DNA-directed RNA polymerase Rpb11, 13-16kDa subunit, conserved site
IPR008284	conserved_site	Molybdenum cofactor biosynthesis, conserved site
IPR008918	conserved_site	Helix-hairpin-helix motif, class 2
IPR009535	conserved_site	Phospholipase C-beta, conserved site
IPR010133	conserved_site	Bacteriocin-type signal sequence
IPR010810	conserved_site	Flagellin hook, IN motif
IPR010916	conserved_site	TonB box, conserved site
IPR010917	conserved_site	TonB-dependent receptor, conserved site
IPR011062	conserved_site	Contryphan, conserved site
IPR011142	conserved_site	Spider toxin CSTX, Knottin scaffold conserved site
IPR011695	conserved_site	Tash protein, PEST motif
IPR012321	conserved_site	Conotoxin, omega-type, conserved site
IPR012322	conserved_site	Conotoxin, delta-type, conserved site
IPR012323	conserved_site	Cyclotide, bracelet, conserved site
IPR012324	conserved_site	Cyclotide, moebius, conserved site
IPR012640	conserved_site	Membrane lipoprotein, lipid attachment site
IPR013000	conserved_site	Ribosomal protein L4/L1e, eukaryotic/archaeal, conserved site
IPR013006	conserved_site	Antimicrobial peptide, C6 type, conserved site
IPR013032	conserved_site	EGF-like, conserved site
IPR013055	conserved_site	Tachykinin/Neurokinin-like, conserved site
IPR013061	conserved_site	Tryptophan/tryrosine permease, conserved site
IPR013139	conserved_site	Omega-atracotoxin, conserved site-2
IPR013140	conserved_site	Huwentoxin, conserved site-1
IPR013141	conserved_site	Conotoxin-I, conserved site
IPR013152	conserved_site	Gastrin/cholecystokinin, conserved site
IPR013383	conserved_site	CRISPR-associated protein DxTHG, conserved site
IPR013734	conserved_site	Transcription factor Nrm1/Whi5
IPR013793	conserved_site	Porin, Gram-negative type, conserved site
IPR013852	conserved_site	Translation elongation factor P/YeiP, conserved site
IPR014029	conserved_site	NADH:ubiquinone oxidoreductase, 49kDa subunit, conserved site
IPR014034	conserved_site	Ferritin, conserved site
IPR014762	conserved_site	DNA mismatch repair, conserved site
IPR014783	conserved_site	Copper type II, ascorbate-dependent monooxygenase, histidine-cluster-2 conserved site
IPR015869	conserved_site	Transcription antitermination protein, NusG, bacteria, conserved site
IPR015875	conserved_site	IMP dehydrogenase / GMP reductase, conserved site
IPR015884	conserved_site	Malic enzyme, conserved site
IPR015892	conserved_site	Carbonic anhydrase, prokaryotic-like, conserved site
IPR015910	conserved_site	Inosine/uridine-preferring nucleoside hydrolase, conserved site
IPR015911	conserved_site	Phosphoglycerate kinase, conserved site
IPR015912	conserved_site	Phosphofructokinase, conserved site
IPR015967	conserved_site	Recombination protein RecR, conserved site
IPR015994	conserved_site	Phosphoenolpyruvate carboxykinase (ATP), conserved site
IPR016050	conserved_site	Proteasome beta-type subunit, conserved site
IPR016059	conserved_site	DNA ligase, ATP-dependent, conserved site
IPR016066	conserved_site	Alpha-D-phosphohexomutase, conserved site
IPR016157	conserved_site	Cullin, conserved site
IPR016160	conserved_site	Aldehyde dehydrogenase, cysteine active site
IPR017690	conserved_site	Outer membrane insertion C-terminal signal, omp85 target
IPR017703	conserved_site	YgfZ/GcvT conserved site
IPR017756	conserved_site	Transmembrane Gly-Cys-Arg, conserved site
IPR017860	conserved_site	Peptidase M22, conserved site
IPR017864	conserved_site	Arrestin, conserved site
IPR017865	conserved_site	F-actin capping protein, alpha subunit, conserved site
IPR017866	conserved_site	Succinyl-CoA synthetase, beta subunit, conserved site
IPR017870	conserved_site	FeS cluster insertion, C-terminal, conserved site
IPR017871	conserved_site	ABC transporter, conserved site
IPR017872	conserved_site	Pyrimidine-nucleoside phosphorylase, conserved site
IPR017889	conserved_site	Avidin-like, conserved site
IPR017891	conserved_site	Insulin-like growth factor binding protein, N-terminal, Cys-rich conserved site
IPR017900	conserved_site	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
IPR017907	conserved_site	Zinc finger, RING-type, conserved site
IPR017915	conserved_site	Colipase, conserved site
IPR017918	conserved_site	Nitrogen regulatory protein PII, conserved site
IPR017925	conserved_site	Dihydrofolate reductase conserved site
IPR017937	conserved_site	Thioredoxin, conserved site
IPR017948	conserved_site	Transforming growth factor beta, conserved site
IPR017949	conserved_site	Thaumatin, conserved site
IPR017953	conserved_site	Carbohydrate kinase, predicted, conserved site
IPR017954	conserved_site	Lipid-binding serum glycoprotein, conserved site
IPR017956	conserved_site	AT hook, DNA-binding motif
IPR017957	conserved_site	P-type trefoil, conserved site
IPR017958	conserved_site	Glutamyl-tRNA(Gln) amidotransferase, subunit B, conserved site
IPR017964	conserved_site	DNA-directed DNA polymerase, family B, conserved site
IPR017967	conserved_site	HMG box A DNA-binding domain, conserved site
IPR017968	conserved_site	Acylphosphatase, conserved site
IPR017969	conserved_site	Heavy-metal-associated, conserved site
IPR017970	conserved_site	Homeobox, conserved site
IPR017972	conserved_site	Cytochrome P450, conserved site
IPR017974	conserved_site	Claudin, conserved site
IPR017975	conserved_site	Tubulin, conserved site
IPR017977	conserved_site	Zona pellucida domain, conserved site
IPR017979	conserved_site	GPCR, family 3, conserved site
IPR017983	conserved_site	GPCR, family 2, secretin-like, conserved site
IPR017985	conserved_site	DNA methylase, N-4 cytosine-specific, conserved site
IPR017988	conserved_site	Ribosome-inactivating protein conserved site
IPR017990	conserved_site	Connexin, conserved site
IPR018000	conserved_site	Neurotransmitter-gated ion-channel, conserved site
IPR018016	conserved_site	Nucleoside phosphorylase, conserved site
IPR018023	conserved_site	Ribosome maturation protein SBDS, conserved site
IPR018030	conserved_site	Fimbrial membrane usher, conserved site
IPR018038	conserved_site	Ribosomal protein L30, conserved site
IPR018039	conserved_site	Intermediate filament protein, conserved site
IPR018042	conserved_site	Aspartate kinase, conserved site
IPR018043	conserved_site	Sodium:galactoside symporter, conserved site
IPR018045	conserved_site	Sulphate anion transporter, conserved site
IPR018046	conserved_site	Pili assembly chaperone, conserved site
IPR018047	conserved_site	Ammonium transporter, conserved site
IPR018048	conserved_site	CXC chemokine, conserved site
IPR018049	conserved_site	Interleukin-7/Interleukin-9, conserved site
IPR018050	conserved_site	Phosphomannose isomerase, type I, conserved site
IPR018052	conserved_site	Aldose 1-epimerase, conserved site
IPR018054	conserved_site	Chromogranin, conserved site
IPR018056	conserved_site	Kringle, conserved site
IPR018062	conserved_site	HTH domain AraC-type, conserved site
IPR018063	conserved_site	SAM-dependent methyltransferase RsmI, conserved site
IPR018065	conserved_site	Ribosomal protein L34e, conserved site
IPR018066	conserved_site	Tubby, C-terminal, conserved site
IPR018067	conserved_site	Protein phosphatase 2A regulatory subunit PR55, conserved site
IPR018071	conserved_site	Omega-atracotoxin, conserved site
